
2024/09/26 (22:56:44) | ===> btop++ v.1.4.0
2024/09/26 (22:56:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (22:58:12) | ===> btop++ v.1.4.0
2024/09/26 (22:58:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (23:00:20) | ===> btop++ v.1.4.0
2024/09/26 (23:00:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (12:25:22) | ===> btop++ v.1.4.0
2024/09/27 (12:25:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (22:00:41) | ===> btop++ v.1.4.0
2024/09/27 (22:00:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (22:36:12) | ===> btop++ v.1.4.0
2024/09/27 (22:36:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (21:35:29) | ===> btop++ v.1.4.0
2024/09/28 (21:35:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (22:34:05) | ===> btop++ v.1.4.0
2024/09/28 (22:34:05) | WARNING: Intel GPU: Failed to initialize PMU
